EVT_UDX_STA_PHBT_START_TIMER,EVT_TFU_RA_REQUEST_INDICATION,EVT_TFU_CRC_INDICATION,EVT_RGR_LVL2_CONFIG_REQUEST,EVT_RGR_LVL1_SI_CONFIG_REQUEST,EVT_RGR_LVL1_CONFIG_REQUEST,EVT_RGR_LVL1_CCCH_DATA_REQUEST,EVT_L1_MSG_INDICATION,EVT_KW_AMUL_STA_PROH_TIMER,EVT_CTF_CONFIG_REQUEST,EVT_COMMON_UE_ACK_INDICATION
0.0,0.0,0.0,0.006598461538461538,0.004997946153846154,0.010953076923076923,0.0,0.005702284615384616,0.0,0.004892307692307692,0.0
0.0,0.0,0.0,0.006598461538461538,0.004997946153846154,0.010953076923076923,0.0,0.005731884615384615,0.0,0.004892307692307692,0.0
0.0,0.0,0.0,0.006598461538461538,0.004997946153846154,0.010953076923076923,0.0,0.005752623076923077,0.0,0.004892307692307692,0.0
0.0,0.0,0.0,0.006598461538461538,0.004997946153846154,0.010953076923076923,0.0,0.005785153846153846,0.0,0.004892307692307692,0.0
0.0,0.0,0.0,0.006598461538461538,0.004997946153846154,0.010953076923076923,0.0,0.005808538461538461,0.0,0.004892307692307692,0.0
0.0,0.0,0.0,0.006598461538461538,0.004997946153846154,0.010953076923076923,0.0,0.005821192307692308,0.0,0.004892307692307692,0.0
0.0,0.0,0.0,0.006598461538461538,0.004997946153846154,0.010953076923076923,0.0,0.005831830769230769,0.0,0.004892307692307692,0.0
0.004022053846153846,0.00496,0.0021839999999999997,0.006598461538461538,0.004997946153846154,0.009718076923076923,0.005023076923076923,0.005843038461538462,0.0025310769230769232,0.004892307692307692,0.0
0.004628276923076923,0.0049700384615384615,0.002403223076923077,0.006598461538461538,0.004997946153846154,0.005722615384615385,0.005285053846153846,0.005876784615384615,0.0033026,0.004892307692307692,0.0032536153846153847
0.004655092307692308,0.0049582692307692305,0.002430292307692308,0.006598461538461538,0.004997946153846154,0.0056515,0.005343653846153846,0.0059099230769230765,0.003288307692307693,0.004892307692307692,0.0032978846153846153
0.004655092307692308,0.0049582692307692305,0.002430292307692308,0.006598461538461538,0.004997946153846154,0.0056515,0.005343653846153846,0.005933669230769231,0.003288307692307693,0.004892307692307692,0.0032978846153846153
0.004655092307692308,0.0049582692307692305,0.0026028153846153843,0.006598461538461538,0.004997946153846154,0.0056515,0.005343653846153846,0.006104984615384616,0.003288307692307693,0.004892307692307692,0.0032978846153846153
0.004655092307692308,0.0049582692307692305,0.002500853846153846,0.006598461538461538,0.004997946153846154,0.0056515,0.005343653846153846,0.006393838461538462,0.003288307692307693,0.004892307692307692,0.0032978846153846153
0.004655092307692308,0.0049582692307692305,0.002428,0.006598461538461538,0.004997946153846154,0.0056515,0.005343653846153846,0.006656761538461539,0.003288307692307693,0.004892307692307692,0.0032978846153846153
0.004655092307692308,0.0049582692307692305,0.0023903923076923077,0.006598461538461538,0.004997946153846154,0.0056515,0.005343653846153846,0.0068753615384615375,0.003288307692307693,0.004892307692307692,0.0032978846153846153
0.004655092307692308,0.0049582692307692305,0.002370153846153846,0.006598461538461538,0.004997946153846154,0.0056515,0.005343653846153846,0.007056607692307692,0.003288307692307693,0.004892307692307692,0.0032978846153846153
