EVT_UDX_STA_UPD_REQUEST,EVT_UDX_STA_PDU_REQUEST,EVT_UDX_DL_CLEANUP_MEM,EVT_UDX_CONFIG_REQUEST,EVT_UDX_CONFIG_CONFIRM,EVT_TIMER_TICK_INDICATION,EVT_SCTP_USER_PAYLOAD_REQUEST,EVT_SCTP_USER_PAYLOAD_INDICATION,EVT_SCTP_CONFIG_RESPONSE,EVT_SCTP_CONFIG_REQUEST,EVT_SCTP_ASSOC_STATUS,EVT_RRM_UE_RECONFIG_RESPONSE,EVT_RRM_UE_RECONFIG_REQUEST,EVT_RRM_UE_ADMIT_REQUEST,EVT_RRM_UE_ADMIT_CONFIRM,EVT_RRM_CELL_ADD_REQUEST,EVT_RRM_CELL_ADD_CONFIRM,EVT_RLC_UE_CONFIG_CONFIRM,EVT_RLC_REQ_FLW_CTRL_INFO,EVT_RLC_FLW_CTRL_INFO_INDICATION,EVT_RGR_LVL2_CONFIG_CONFIRM,EVT_RGR_LVL1_TTI_INDICATION,EVT_RGR_LVL1_SI_CONFIG_CONFIRM,EVT_RGR_LVL1_CONFIG_CONFIRM,EVT_RGR_LVL1_CCCH_DATA_INDICATION,EVT_OAM_DU_CONFIG_REQUEST,EVT_OAM_CELL_CONFIG_REQUEST,EVT_NRUP_EGTPU_DATA_INDICATION,EVT_NRUP_ADD_RAB_RESPONSE,EVT_NRUP_ADD_RAB_REQUEST,EVT_KWU_DATA_REQUEST,EVT_KWU_DATA_INDICATION,EVT_F1AP_UE_MSG_TX,EVT_F1AP_UE_MSG_RX,EVT_F1AP_UE_ID_RESPONSE,EVT_F1AP_UE_ID_REQUEST,EVT_F1AP_MGMT_MSG_TX,EVT_F1AP_MGMT_MSG_RX,EVT_EGTP_TTI_INDICATION,EVT_EGTP_INIT_REQUEST,EVT_EGTP_ADD_TUNNEL_RESPONSE,EVT_EGTP_ADD_TUNNEL_REQUEST,EVT_CTF_CONFIG_CONFIRM,EVT_CKW_UL_CONFIG_REQUEST,EVT_APP_UE_RRC_RECONFIG_DELIVERY_INDICATION,EVT_APP_LCL_CELL_ADD_RSP,EVT_APP_LCL_CELL_ADD_REQ
0,0,0,0,0,0,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,0,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,1,0,0,2,1
0,0,0,0,0,5809,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,581,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,11618,1,0,0,1,0,0,2,1
0,0,0,0,0,15810,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,1581,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,31620,1,0,0,1,0,0,2,1
0,0,0,0,0,25811,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,2581,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,51622,1,0,0,1,0,0,2,1
0,0,0,0,0,35812,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,3581,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,71624,1,0,0,1,0,0,2,1
0,0,0,0,0,45813,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,4581,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,91626,1,0,0,1,0,0,2,1
0,0,0,0,0,55814,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,5581,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,111628,1,0,0,1,0,0,2,1
0,0,0,0,0,65815,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,6581,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,131630,1,0,0,1,0,0,2,1
0,0,0,0,0,75816,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,7581,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,151632,1,0,0,1,0,0,2,1
4,7,4,2,2,85817,14,12,1,1,1,1,1,1,1,1,1,2,69878,69840,1,8581,3,8,1,1,1,4093,1,1,4099,9806,11,9,1,1,3,3,171634,1,1,1,1,2,1,2,1
4,7,4,2,2,95819,14,12,1,1,1,1,1,1,1,1,1,2,873701,873681,1,9582,3,8,1,1,1,24080,1,1,24085,56850,11,9,1,1,3,3,191639,1,1,1,1,2,1,2,1
4,7,4,2,2,105821,14,12,1,1,1,1,1,1,1,1,1,2,1677417,1677410,1,10582,3,8,1,1,1,44066,1,1,44072,103893,11,9,1,1,3,3,211642,1,1,1,1,2,1,2,1
4,7,4,2,2,115825,14,12,1,1,1,1,1,1,1,1,1,2,2481388,2481352,1,11582,3,8,1,1,1,64067,1,1,64073,150975,11,9,1,1,3,3,231651,1,1,1,1,2,1,2,1
4,7,4,2,2,125827,14,12,1,1,1,1,1,1,1,1,1,2,3285146,3285116,1,12582,3,8,1,1,1,84071,1,1,84077,198048,11,9,1,1,3,3,251655,1,1,1,1,2,1,2,1
4,7,4,2,2,135830,14,12,1,1,1,1,1,1,1,1,1,2,4088902,4088892,1,13583,3,8,1,1,1,104075,1,1,104081,245119,11,9,1,1,3,3,271660,1,1,1,1,2,1,2,1
