EVT_UDX_STA_UPD_REQUEST,EVT_UDX_STA_PDU_REQUEST,EVT_UDX_DL_CLEANUP_MEM,EVT_UDX_CONFIG_REQUEST,EVT_UDX_CONFIG_CONFIRM,EVT_TIMER_TICK_INDICATION,EVT_SCTP_USER_PAYLOAD_REQUEST,EVT_SCTP_USER_PAYLOAD_INDICATION,EVT_SCTP_CONFIG_RESPONSE,EVT_SCTP_CONFIG_REQUEST,EVT_SCTP_ASSOC_STATUS,EVT_RRM_UE_RECONFIG_RESPONSE,EVT_RRM_UE_RECONFIG_REQUEST,EVT_RRM_UE_ADMIT_REQUEST,EVT_RRM_UE_ADMIT_CONFIRM,EVT_RRM_CELL_ADD_REQUEST,EVT_RRM_CELL_ADD_CONFIRM,EVT_RLC_UE_CONFIG_CONFIRM,EVT_RLC_REQ_FLW_CTRL_INFO,EVT_RLC_FLW_CTRL_INFO_INDICATION,EVT_RGR_LVL2_CONFIG_CONFIRM,EVT_RGR_LVL1_TTI_INDICATION,EVT_RGR_LVL1_SI_CONFIG_CONFIRM,EVT_RGR_LVL1_CONFIG_CONFIRM,EVT_RGR_LVL1_CCCH_DATA_INDICATION,EVT_OAM_DU_CONFIG_REQUEST,EVT_OAM_CELL_CONFIG_REQUEST,EVT_NRUP_EGTPU_DATA_INDICATION,EVT_NRUP_ADD_RAB_RESPONSE,EVT_NRUP_ADD_RAB_REQUEST,EVT_KWU_DATA_REQUEST,EVT_KWU_DATA_INDICATION,EVT_F1AP_UE_MSG_TX,EVT_F1AP_UE_MSG_RX,EVT_F1AP_UE_ID_RESPONSE,EVT_F1AP_UE_ID_REQUEST,EVT_F1AP_MGMT_MSG_TX,EVT_F1AP_MGMT_MSG_RX,EVT_EGTP_TTI_INDICATION,EVT_EGTP_INIT_REQUEST,EVT_EGTP_ADD_TUNNEL_RESPONSE,EVT_EGTP_ADD_TUNNEL_REQUEST,EVT_CTF_CONFIG_CONFIRM,EVT_CKW_UL_CONFIG_REQUEST,EVT_APP_UE_RRC_RECONFIG_DELIVERY_INDICATION,EVT_APP_LCL_CELL_ADD_RSP,EVT_APP_LCL_CELL_ADD_REQ
0,0,0,0,0,339,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,34,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,678,1,0,0,1,0,0,2,1
0,0,0,0,0,10340,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,1034,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,20680,1,0,0,1,0,0,2,1
0,0,0,0,0,20340,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,2034,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,40681,1,0,0,1,0,0,2,1
0,0,0,0,0,30341,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,3034,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,60683,1,0,0,1,0,0,2,1
0,0,0,0,0,40342,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,4034,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,80684,1,0,0,1,0,0,2,1
0,0,0,0,0,50343,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,5034,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,100687,1,0,0,1,0,0,2,1
0,0,0,0,0,60344,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,6034,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,120689,1,0,0,1,0,0,2,1
0,0,0,0,0,70345,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,7034,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,140691,1,0,0,1,0,0,2,1
0,0,0,0,0,80346,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,8034,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,160693,1,0,0,1,0,0,2,1
4,7,4,2,2,90348,14,12,1,1,1,1,1,1,1,1,1,2,41142,41113,1,9035,3,8,1,1,1,3364,1,1,3370,7973,11,9,1,1,3,3,180696,1,1,1,1,2,1,2,1
4,7,4,2,2,100350,14,12,1,1,1,1,1,1,1,1,1,2,844893,844878,1,10035,3,8,1,1,1,23368,1,1,23374,55044,11,9,1,1,3,3,200700,1,1,1,1,2,1,2,1
4,7,4,2,2,110352,14,12,1,1,1,1,1,1,1,1,1,2,1648655,1648630,1,11035,3,8,1,1,1,43372,1,1,43378,102116,11,9,1,1,3,3,220704,1,1,1,1,2,1,2,1
4,7,4,2,2,120353,14,12,1,1,1,1,1,1,1,1,1,2,2452368,2452347,1,12035,3,8,1,1,1,63358,1,1,63364,149161,11,9,1,1,3,3,240707,1,1,1,1,2,1,2,1
4,7,4,2,2,130356,14,12,1,1,1,1,1,1,1,1,1,2,3256204,3256174,1,13035,3,8,1,1,1,83347,1,1,83352,196219,11,9,1,1,3,3,260712,1,1,1,1,2,1,2,1
4,7,4,2,2,140357,14,12,1,1,1,1,1,1,1,1,1,2,4059924,4059898,1,14035,3,8,1,1,1,103334,1,1,103340,243269,11,9,1,1,3,3,280715,1,1,1,1,2,1,2,1
4,7,4,2,2,150359,14,12,1,1,1,1,1,1,1,1,1,2,4863675,4863651,1,15036,3,8,1,1,1,123338,1,1,123344,290340,11,9,1,1,3,3,300719,1,1,1,1,2,1,2,1
4,7,4,2,2,160364,14,12,1,1,1,1,1,1,1,1,1,2,5667638,5667607,1,16036,3,8,1,1,1,143347,1,1,143353,337424,11,9,1,1,3,3,320728,1,1,1,1,2,1,2,1
4,7,4,2,2,170366,14,12,1,1,1,1,1,1,1,1,1,2,6471355,6471350,1,17036,3,8,1,1,1,163350,1,1,163356,384499,11,9,1,1,3,3,340732,1,1,1,1,2,1,2,1
4,7,4,2,2,180368,14,12,1,1,1,1,1,1,1,1,1,2,7275152,7275148,1,18036,3,8,1,1,1,183354,1,1,183360,431571,11,9,1,1,3,3,360736,1,1,1,1,2,1,2,1
