EVT_UDX_STA_PHBT_START_TIMER,EVT_TFU_RA_REQUEST_INDICATION,EVT_TFU_CRC_INDICATION,EVT_RGR_LVL2_CONFIG_REQUEST,EVT_RGR_LVL1_SI_CONFIG_REQUEST,EVT_RGR_LVL1_CONFIG_REQUEST,EVT_RGR_LVL1_CCCH_DATA_REQUEST,EVT_L1_MSG_INDICATION,EVT_KW_UMUL_REASSEMBLE_TIMER,EVT_KW_AMUL_STA_PROH_TIMER,EVT_CTF_CONFIG_REQUEST,EVT_COMMON_UE_ACK_INDICATION
0,0,0,1,3,2,0,4164,0,0,1,0
0,0,0,1,3,2,0,25166,0,0,1,0
0,0,0,1,3,2,0,46168,0,0,1,0
0,0,0,1,3,2,0,67169,0,0,1,0
0,0,0,1,3,2,0,88172,0,0,1,0
0,0,0,1,3,2,0,109173,0,0,1,0
0,0,0,1,3,2,0,130175,0,0,1,0
0,0,0,1,3,2,0,151177,0,0,1,0
0,0,0,1,3,2,0,172180,0,0,1,0
92,13,126,1,3,70,12,195149,0,92,1,22
127,16,169,1,3,98,16,220249,0,127,1,32
127,16,169,1,3,98,16,245262,0,127,1,32
127,16,2058,1,3,98,16,274058,0,127,1,32
127,16,6061,1,3,98,16,307086,0,127,1,32
127,16,7235,1,3,98,16,334449,0,127,1,32
127,16,7235,1,3,98,16,359462,0,127,1,32
127,16,8326,1,3,98,16,386666,1,127,1,32
127,16,12330,1,3,98,16,419699,3,127,1,32
127,16,16334,1,3,98,16,452726,5,127,1,32
127,16,20338,1,3,98,16,485762,5,127,1,32
127,16,24341,1,3,98,16,518789,5,127,1,32
