EVT_UDX_STA_PHBT_START_TIMER,EVT_TFU_RA_REQUEST_INDICATION,EVT_TFU_CRC_INDICATION,EVT_RGR_LVL2_CONFIG_REQUEST,EVT_RGR_LVL1_SI_CONFIG_REQUEST,EVT_RGR_LVL1_CONFIG_REQUEST,EVT_RGR_LVL1_CCCH_DATA_REQUEST,EVT_L1_MSG_INDICATION,EVT_KW_UMUL_REASSEMBLE_TIMER,EVT_KW_AMUL_STA_PROH_TIMER,EVT_CTF_CONFIG_REQUEST,EVT_COMMON_UE_ACK_INDICATION
0,0,0,1,3,2,0,2,0,0,1,0
0,0,0,1,3,2,0,19617,0,0,1,0
0,0,0,1,3,2,0,40619,0,0,1,0
0,0,0,1,3,2,0,61621,0,0,1,0
0,0,0,1,3,2,0,82623,0,0,1,0
0,0,0,1,3,2,0,103625,0,0,1,0
0,0,0,1,3,2,0,124626,0,0,1,0
0,0,0,1,3,2,0,145628,0,0,1,0
0,0,0,1,3,2,0,166630,0,0,1,0
0,0,0,1,3,2,0,187632,0,0,1,0
0,0,0,1,3,2,0,208635,0,0,1,0
0,0,0,1,3,2,0,229637,0,0,1,0
0,0,0,1,3,2,0,250639,0,0,1,0
0,0,0,1,3,2,0,271641,0,0,1,0
0,0,0,1,3,2,0,292643,0,0,1,0
0,0,0,1,3,2,0,313644,0,0,1,0
0,0,0,1,3,2,0,334646,0,0,1,0
0,0,0,1,3,2,0,355648,0,0,1,0
0,0,0,1,3,2,0,376650,0,0,1,0
0,0,0,1,3,2,0,397652,0,0,1,0
0,0,0,1,3,2,0,418653,0,0,1,0
0,0,0,1,3,2,0,439656,0,0,1,0
146,19,200,1,3,108,19,464146,0,146,1,34
271,32,367,1,3,194,32,489535,0,271,1,64
271,32,367,1,3,194,32,514567,0,271,1,64
271,32,3636,1,3,194,32,546142,0,271,1,64
271,32,7648,1,3,194,32,579240,0,271,1,64
271,32,11665,1,3,194,32,612381,0,271,1,64
271,32,15678,1,3,194,32,645484,1,271,1,64
271,32,19696,1,3,194,32,678637,3,271,1,64
271,32,23713,1,3,194,32,711776,5,271,1,64
271,32,27724,1,3,194,32,744869,6,271,1,64
271,32,31740,1,3,194,32,777999,6,271,1,64
271,32,35755,1,3,194,32,811121,6,271,1,64
271,32,39769,1,3,194,32,844240,6,271,1,64
271,32,43785,1,3,194,32,877368,6,271,1,64
271,32,47800,1,3,194,32,910493,6,271,1,64
271,32,51816,1,3,194,32,943624,8,271,1,64
