EVT_UDX_STA_UPD_REQUEST,EVT_UDX_STA_PDU_REQUEST,EVT_UDX_DL_CLEANUP_MEM,EVT_UDX_CONFIG_REQUEST,EVT_UDX_CONFIG_CONFIRM,EVT_TIMER_TICK_INDICATION,EVT_SCTP_USER_PAYLOAD_REQUEST,EVT_SCTP_USER_PAYLOAD_INDICATION,EVT_SCTP_CONFIG_RESPONSE,EVT_SCTP_CONFIG_REQUEST,EVT_SCTP_ASSOC_STATUS,EVT_RRM_UE_RECONFIG_RESPONSE,EVT_RRM_UE_RECONFIG_REQUEST,EVT_RRM_UE_ADMIT_REQUEST,EVT_RRM_UE_ADMIT_CONFIRM,EVT_RRM_CELL_ADD_REQUEST,EVT_RRM_CELL_ADD_CONFIRM,EVT_RLC_UE_CONFIG_CONFIRM,EVT_RLC_REQ_FLW_CTRL_INFO,EVT_RLC_FLW_CTRL_INFO_INDICATION,EVT_RGR_LVL2_CONFIG_CONFIRM,EVT_RGR_LVL1_TTI_INDICATION,EVT_RGR_LVL1_SI_CONFIG_CONFIRM,EVT_RGR_LVL1_CONFIG_CONFIRM,EVT_RGR_LVL1_CCCH_DATA_INDICATION,EVT_OAM_DU_CONFIG_REQUEST,EVT_OAM_CELL_CONFIG_REQUEST,EVT_NRUP_EGTPU_DATA_INDICATION,EVT_NRUP_ADD_RAB_RESPONSE,EVT_NRUP_ADD_RAB_REQUEST,EVT_KWU_DATA_REQUEST,EVT_KWU_DATA_INDICATION,EVT_F1AP_UE_MSG_TX,EVT_F1AP_UE_MSG_RX,EVT_F1AP_UE_ID_RESPONSE,EVT_F1AP_UE_ID_REQUEST,EVT_F1AP_MGMT_MSG_TX,EVT_F1AP_MGMT_MSG_RX,EVT_EGTP_TTI_INDICATION,EVT_EGTP_INIT_REQUEST,EVT_EGTP_ADD_TUNNEL_RESPONSE,EVT_EGTP_ADD_TUNNEL_REQUEST,EVT_CTF_CONFIG_CONFIRM,EVT_CKW_UL_CONFIG_REQUEST,EVT_APP_UE_RRC_RECONFIG_DELIVERY_INDICATION,EVT_APP_LCL_CELL_ADD_RSP,EVT_APP_LCL_CELL_ADD_REQ
0,0,0,0,0,3935,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,393,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,7870,1,0,0,1,0,0,2,1
0,0,0,0,0,13939,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,1394,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,27879,1,0,0,1,0,0,2,1
0,0,0,0,0,23940,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,2394,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,47881,1,0,0,1,0,0,2,1
0,0,0,0,0,33941,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,3394,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,67883,1,0,0,1,0,0,2,1
0,0,0,0,0,43942,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,4394,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,87885,1,0,0,1,0,0,2,1
0,0,0,0,0,53943,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,5394,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,107886,1,0,0,1,0,0,2,1
0,0,0,0,0,63944,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,6394,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,127888,1,0,0,1,0,0,2,1
0,0,0,0,0,73945,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,7394,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,147890,1,0,0,1,0,0,2,1
0,0,0,0,0,83946,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,8394,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,167892,1,0,0,1,0,0,2,1
0,0,0,0,0,93947,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,9394,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,187894,1,0,0,1,0,0,2,1
0,0,0,0,0,103947,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,10394,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,207895,1,0,0,1,0,0,2,1
0,0,0,0,0,113948,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,11395,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,227897,1,0,0,1,0,0,2,1
0,0,0,0,0,123949,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,12395,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,247899,1,0,0,1,0,0,2,1
43,79,43,20,20,133955,112,91,1,1,1,9,9,11,11,1,1,20,0,0,1,13395,3,60,11,1,1,0,9,9,59,80,109,88,11,11,3,3,267911,1,9,9,1,20,9,2,1
148,237,148,60,60,143970,330,270,1,1,1,29,29,31,31,1,1,60,0,0,1,14397,3,180,31,1,1,0,29,29,178,238,327,267,31,31,3,3,287940,1,29,29,1,60,29,2,1
161,255,161,64,64,153979,355,291,1,1,1,32,32,32,32,1,1,64,0,0,1,15398,3,194,32,1,1,0,32,32,192,256,352,288,32,32,3,3,307959,1,32,32,1,64,32,2,1
161,255,161,64,64,163995,355,291,1,1,1,32,32,32,32,1,1,64,1497,1490,1,16399,3,194,32,1,1,42424,32,32,41775,3633,352,288,32,32,3,3,327991,1,32,32,1,64,32,2,1
161,255,161,64,64,174022,355,291,1,1,1,32,32,32,32,1,1,64,127589,126841,1,17402,3,194,32,1,1,294495,32,32,288763,30603,352,288,32,32,3,3,348044,1,32,32,1,64,32,2,1
161,255,161,64,64,184058,355,291,1,1,1,32,32,32,32,1,1,64,483292,479485,1,18406,3,194,32,1,1,828241,32,32,811791,75419,352,288,32,32,3,3,368117,1,32,32,1,64,32,2,1
161,255,161,64,64,194098,355,291,1,1,1,32,32,32,32,1,1,64,1026784,1017966,1,19410,3,194,32,1,1,1446283,32,32,1418491,120909,352,288,32,32,3,3,388197,1,32,32,1,64,32,2,1
161,255,161,64,64,204123,355,291,1,1,1,32,32,32,32,1,1,64,1620419,1606128,1,20412,3,194,32,1,1,2058703,32,32,2020635,166191,352,288,32,32,3,3,408246,1,32,32,1,64,32,2,1
