EVT_UDX_STA_PHBT_START_TIMER,EVT_TFU_RA_REQUEST_INDICATION,EVT_TFU_CRC_INDICATION,EVT_RGR_LVL2_CONFIG_REQUEST,EVT_RGR_LVL1_SI_CONFIG_REQUEST,EVT_RGR_LVL1_CONFIG_REQUEST,EVT_RGR_LVL1_CCCH_DATA_REQUEST,EVT_L1_MSG_INDICATION,EVT_KW_UMUL_REASSEMBLE_TIMER,EVT_KW_AMUL_STA_PROH_TIMER,EVT_CTF_CONFIG_REQUEST,EVT_COMMON_UE_ACK_INDICATION
0,0,0,1,3,2,0,2,0,0,1,0
0,0,0,1,3,2,0,19181,0,0,1,0
0,0,0,1,3,2,0,40183,0,0,1,0
0,0,0,1,3,2,0,61185,0,0,1,0
0,0,0,1,3,2,0,82190,0,0,1,0
0,0,0,1,3,2,0,103192,0,0,1,0
0,0,0,1,3,2,0,124194,0,0,1,0
0,0,0,1,3,2,0,145196,0,0,1,0
0,0,0,1,3,2,0,166198,0,0,1,0
0,0,0,1,3,2,0,187200,0,0,1,0
0,0,0,1,3,2,0,208202,0,0,1,0
0,0,0,1,3,2,0,229203,0,0,1,0
7,1,264,1,3,8,1,251589,0,7,1,2
7,1,1360,1,3,8,1,278161,1,7,1,2
7,1,1360,1,3,8,1,299664,1,7,1,2
7,1,1360,1,3,8,1,321168,1,7,1,2
7,1,1944,1,3,8,1,344334,1,7,1,2
7,1,5945,1,3,8,1,377340,1,7,1,2
7,1,9945,1,3,8,1,410344,1,7,1,2
7,1,13946,1,3,8,1,443351,1,7,1,2
7,1,17947,1,3,8,1,476358,1,7,1,2
