EVT_UDX_STA_PHBT_START_TIMER,EVT_TFU_RA_REQUEST_INDICATION,EVT_TFU_CRC_INDICATION,EVT_RGR_LVL2_CONFIG_REQUEST,EVT_RGR_LVL1_SI_CONFIG_REQUEST,EVT_RGR_LVL1_CONFIG_REQUEST,EVT_RGR_LVL1_CCCH_DATA_REQUEST,EVT_L1_MSG_INDICATION,EVT_KW_UMUL_REASSEMBLE_TIMER,EVT_KW_AMUL_STA_PROH_TIMER,EVT_CTF_CONFIG_REQUEST,EVT_COMMON_UE_ACK_INDICATION
0,0,0,1,3,2,0,2,0,0,1,0
0,0,0,1,3,2,0,20672,0,0,1,0
0,0,0,1,3,2,0,41674,0,0,1,0
0,0,0,1,3,2,0,62676,0,0,1,0
0,0,0,1,3,2,0,83678,0,0,1,0
0,0,0,1,3,2,0,104680,0,0,1,0
0,0,0,1,3,2,0,125682,0,0,1,0
0,0,0,1,3,2,0,146683,0,0,1,0
0,0,0,1,3,2,0,167686,0,0,1,0
0,0,0,1,3,2,0,188688,0,0,1,0
0,0,0,1,3,2,0,209690,0,0,1,0
119,16,159,1,3,90,16,233387,0,119,1,28
127,16,169,1,3,98,16,258421,0,127,1,32
127,16,169,1,3,98,16,283434,0,127,1,32
127,16,2410,1,3,98,16,312936,0,127,1,32
127,16,6415,1,3,98,16,345973,0,127,1,32
127,16,10420,1,3,98,16,379016,0,127,1,32
127,16,14424,1,3,98,16,412048,0,127,1,32
127,16,18428,1,3,98,16,445082,1,127,1,32
127,16,22432,1,3,98,16,478117,3,127,1,32
