EVT_UDX_STA_PHBT_START_TIMER,EVT_TFU_RA_REQUEST_INDICATION,EVT_TFU_CRC_INDICATION,EVT_RGR_LVL2_CONFIG_REQUEST,EVT_RGR_LVL1_SI_CONFIG_REQUEST,EVT_RGR_LVL1_CONFIG_REQUEST,EVT_RGR_LVL1_CCCH_DATA_REQUEST,EVT_L1_MSG_INDICATION,EVT_KW_UMUL_REASSEMBLE_TIMER,EVT_KW_AMUL_STA_PROH_TIMER,EVT_CTF_CONFIG_REQUEST,EVT_COMMON_UE_ACK_INDICATION
0,0,0,1,3,2,0,712,0,0,1,0
0,0,0,1,3,2,0,21715,0,0,1,0
0,0,0,1,3,2,0,42716,0,0,1,0
0,0,0,1,3,2,0,63718,0,0,1,0
0,0,0,1,3,2,0,84719,0,0,1,0
0,0,0,1,3,2,0,105722,0,0,1,0
0,0,0,1,3,2,0,126724,0,0,1,0
0,0,0,1,3,2,0,147726,0,0,1,0
0,0,0,1,3,2,0,168728,0,0,1,0
7,1,689,1,3,8,1,191920,0,7,1,2
7,1,4690,1,3,8,1,224928,0,7,1,2
7,1,8691,1,3,8,1,257935,0,7,1,2
7,1,12691,1,3,8,1,290938,2,7,1,2
7,1,16692,1,3,8,1,323946,4,7,1,2
7,1,20693,1,3,8,1,356952,6,7,1,2
7,1,24694,1,3,8,1,389957,6,7,1,2
7,1,28696,1,3,8,1,422975,6,7,1,2
7,1,32696,1,3,8,1,455978,6,7,1,2
7,1,36697,1,3,8,1,488985,6,7,1,2
