EVT_UDX_STA_PHBT_START_TIMER,EVT_TFU_RA_REQUEST_INDICATION,EVT_TFU_CRC_INDICATION,EVT_RGR_LVL2_CONFIG_REQUEST,EVT_RGR_LVL1_SI_CONFIG_REQUEST,EVT_RGR_LVL1_CONFIG_REQUEST,EVT_RGR_LVL1_CCCH_DATA_REQUEST,EVT_L1_MSG_INDICATION,EVT_KW_UMUL_REASSEMBLE_TIMER,EVT_KW_AMUL_STA_PROH_TIMER,EVT_CTF_CONFIG_REQUEST,EVT_COMMON_UE_ACK_INDICATION
0,0,0,1,3,2,0,7369,0,0,1,0
0,0,0,1,3,2,0,28372,0,0,1,0
0,0,0,1,3,2,0,49374,0,0,1,0
0,0,0,1,3,2,0,70376,0,0,1,0
0,0,0,1,3,2,0,91378,0,0,1,0
0,0,0,1,3,2,0,112381,0,0,1,0
0,0,0,1,3,2,0,133383,0,0,1,0
0,0,0,1,3,2,0,154384,0,0,1,0
0,0,0,1,3,2,0,175386,0,0,1,0
0,0,0,1,3,2,0,196388,0,0,1,0
0,0,0,1,3,2,0,217390,0,0,1,0
55,8,76,1,3,42,8,239368,0,55,1,12
216,28,289,1,3,166,28,264815,0,215,1,53
255,32,337,1,3,194,32,289936,0,255,1,64
255,32,1029,1,3,194,32,316349,0,255,1,64
255,32,5024,1,3,194,32,349400,0,255,1,64
255,32,9040,1,3,194,32,382533,0,255,1,64
255,32,13055,1,3,194,32,415656,0,255,1,64
255,32,17079,1,3,194,32,448857,0,255,1,64
255,32,21098,1,3,194,32,482015,2,255,1,64
255,32,25119,1,3,194,32,515195,4,255,1,64
