EVT_UDX_STA_PHBT_START_TIMER,EVT_TFU_RA_REQUEST_INDICATION,EVT_TFU_CRC_INDICATION,EVT_RGR_LVL2_CONFIG_REQUEST,EVT_RGR_LVL1_SI_CONFIG_REQUEST,EVT_RGR_LVL1_CONFIG_REQUEST,EVT_RGR_LVL1_CCCH_DATA_REQUEST,EVT_L1_MSG_INDICATION,EVT_KW_UMUL_REASSEMBLE_TIMER,EVT_KW_AMUL_STA_PROH_TIMER,EVT_CTF_CONFIG_REQUEST,EVT_COMMON_UE_ACK_INDICATION
0,0,0,1,3,2,0,2,0,0,1,0
0,0,0,1,3,2,0,12199,0,0,1,0
0,0,0,1,3,2,0,33202,0,0,1,0
0,0,0,1,3,2,0,54204,0,0,1,0
0,0,0,1,3,2,0,75206,0,0,1,0
0,0,0,1,3,2,0,96208,0,0,1,0
0,0,0,1,3,2,0,117210,0,0,1,0
0,0,0,1,3,2,0,138212,0,0,1,0
0,0,0,1,3,2,0,159213,0,0,1,0
7,1,845,1,3,8,1,182831,0,7,1,2
7,1,4846,1,3,8,1,215837,2,7,1,2
7,1,8846,1,3,8,1,248843,4,7,1,2
7,1,12848,1,3,8,1,281858,5,7,1,2
7,1,16849,1,3,8,1,314865,5,7,1,2
7,1,20850,1,3,8,1,347874,5,7,1,2
