EVT_UDX_STA_UPD_REQUEST,EVT_UDX_STA_PDU_REQUEST,EVT_UDX_DL_CLEANUP_MEM,EVT_UDX_CONFIG_REQUEST,EVT_UDX_CONFIG_CONFIRM,EVT_TIMER_TICK_INDICATION,EVT_SCTP_USER_PAYLOAD_REQUEST,EVT_SCTP_USER_PAYLOAD_INDICATION,EVT_SCTP_CONFIG_RESPONSE,EVT_SCTP_CONFIG_REQUEST,EVT_SCTP_ASSOC_STATUS,EVT_RRM_UE_RECONFIG_RESPONSE,EVT_RRM_UE_RECONFIG_REQUEST,EVT_RRM_UE_ADMIT_REQUEST,EVT_RRM_UE_ADMIT_CONFIRM,EVT_RRM_CELL_ADD_REQUEST,EVT_RRM_CELL_ADD_CONFIRM,EVT_RLC_UE_CONFIG_CONFIRM,EVT_RLC_REQ_FLW_CTRL_INFO,EVT_RLC_FLW_CTRL_INFO_INDICATION,EVT_RGR_LVL2_CONFIG_CONFIRM,EVT_RGR_LVL1_TTI_INDICATION,EVT_RGR_LVL1_SI_CONFIG_CONFIRM,EVT_RGR_LVL1_CONFIG_CONFIRM,EVT_RGR_LVL1_CCCH_DATA_INDICATION,EVT_OAM_DU_CONFIG_REQUEST,EVT_OAM_CELL_CONFIG_REQUEST,EVT_NRUP_EGTPU_DATA_INDICATION,EVT_NRUP_ADD_RAB_RESPONSE,EVT_NRUP_ADD_RAB_REQUEST,EVT_KWU_DATA_REQUEST,EVT_KWU_DATA_INDICATION,EVT_F1AP_UE_MSG_TX,EVT_F1AP_UE_MSG_RX,EVT_F1AP_UE_ID_RESPONSE,EVT_F1AP_UE_ID_REQUEST,EVT_F1AP_MGMT_MSG_TX,EVT_F1AP_MGMT_MSG_RX,EVT_EGTP_TTI_INDICATION,EVT_EGTP_INIT_REQUEST,EVT_EGTP_ADD_TUNNEL_RESPONSE,EVT_EGTP_ADD_TUNNEL_REQUEST,EVT_CTF_CONFIG_CONFIRM,EVT_CKW_UL_CONFIG_REQUEST,EVT_APP_UE_RRC_RECONFIG_DELIVERY_INDICATION,EVT_APP_LCL_CELL_ADD_RSP,EVT_APP_LCL_CELL_ADD_REQ
0,0,0,0,0,0,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,0,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,1,0,0,2,1
0,0,0,0,0,9390,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,939,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,18781,1,0,0,1,0,0,2,1
0,0,0,0,0,19391,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,1939,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,38783,1,0,0,1,0,0,2,1
0,0,0,0,0,29392,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,2939,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,58785,1,0,0,1,0,0,2,1
0,0,0,0,0,39393,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,3939,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,78786,1,0,0,1,0,0,2,1
0,0,0,0,0,49394,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,4939,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,98789,1,0,0,1,0,0,2,1
0,0,0,0,0,59395,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,5939,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,118791,1,0,0,1,0,0,2,1
0,0,0,0,0,69396,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,6939,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,138793,1,0,0,1,0,0,2,1
0,0,0,0,0,79397,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,7939,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,158794,1,0,0,1,0,0,2,1
0,0,0,0,0,89398,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,8940,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,178796,1,0,0,1,0,0,2,1
0,0,0,0,0,99399,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,9940,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,198798,1,0,0,1,0,0,2,1
0,0,0,0,0,109400,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,10940,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,218800,1,0,0,1,0,0,2,1
0,0,0,0,0,119401,3,3,1,1,1,0,0,0,0,1,1,0,0,0,1,11940,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,3,238802,1,0,0,1,0,0,2,1
14,23,14,6,6,129403,35,28,1,1,1,2,2,4,4,1,1,6,0,0,1,12940,3,18,4,1,1,0,2,2,17,24,32,25,4,4,3,3,258806,1,2,2,1,6,2,2,1
74,127,74,32,32,139408,179,147,1,1,1,16,16,16,16,1,1,32,0,0,1,13941,3,98,16,1,1,0,16,16,96,128,176,144,16,16,3,3,278817,1,16,16,1,32,16,2,1
74,127,74,32,32,149413,179,147,1,1,1,16,16,16,16,1,1,32,0,0,1,14941,3,98,16,1,1,0,16,16,96,128,176,144,16,16,3,3,298827,1,16,16,1,32,16,2,1
