EVT_UDX_STA_PHBT_START_TIMER,EVT_TFU_RA_REQUEST_INDICATION,EVT_TFU_CRC_INDICATION,EVT_RGR_LVL2_CONFIG_REQUEST,EVT_RGR_LVL1_SI_CONFIG_REQUEST,EVT_RGR_LVL1_CONFIG_REQUEST,EVT_RGR_LVL1_CCCH_DATA_REQUEST,EVT_L1_MSG_INDICATION,EVT_KW_UMUL_REASSEMBLE_TIMER,EVT_KW_AMUL_STA_PROH_TIMER,EVT_CTF_CONFIG_REQUEST,EVT_COMMON_UE_ACK_INDICATION
0,0,0,1,3,2,0,2,0,0,1,0
0,0,0,1,3,2,0,20424,0,0,1,0
0,0,0,1,3,2,0,41426,0,0,1,0
0,0,0,1,3,2,0,62428,0,0,1,0
0,0,0,1,3,2,0,83430,0,0,1,0
0,0,0,1,3,2,0,104431,0,0,1,0
0,0,0,1,3,2,0,125434,0,0,1,0
0,0,0,1,3,2,0,146436,0,0,1,0
0,0,0,1,3,2,0,167438,0,0,1,0
0,0,0,1,3,2,0,188440,0,0,1,0
0,0,0,1,3,2,0,209441,0,0,1,0
0,0,0,1,3,2,0,230443,0,0,1,0
0,0,0,1,3,2,0,251444,0,0,1,0
0,0,0,1,3,2,0,272446,0,0,1,0
0,0,0,1,3,2,0,293448,0,0,1,0
140,18,186,1,3,106,18,317707,0,140,1,34
255,32,338,1,3,194,32,343037,0,255,1,64
255,32,338,1,3,194,32,368062,0,255,1,64
255,32,3106,1,3,194,32,398638,0,255,1,64
255,32,7122,1,3,194,32,431770,0,255,1,64
255,32,11137,1,3,194,32,464897,0,255,1,64
255,32,15154,1,3,194,32,498037,3,255,1,64
255,32,19174,1,3,194,32,531204,5,255,1,64
255,32,23198,1,3,194,32,564403,7,255,1,64
255,32,27223,1,3,194,32,597606,7,255,1,64
255,32,31241,1,3,194,32,630757,7,255,1,64
255,32,35260,1,3,194,32,663912,7,255,1,64
