EVT_UDX_STA_PHBT_START_TIMER,EVT_TFU_RA_REQUEST_INDICATION,EVT_TFU_CRC_INDICATION,EVT_RGR_LVL2_CONFIG_REQUEST,EVT_RGR_LVL1_SI_CONFIG_REQUEST,EVT_RGR_LVL1_CONFIG_REQUEST,EVT_RGR_LVL1_CCCH_DATA_REQUEST,EVT_L1_MSG_INDICATION,EVT_KW_UMUL_REASSEMBLE_TIMER,EVT_KW_AMUL_STA_PROH_TIMER,EVT_CTF_CONFIG_REQUEST,EVT_COMMON_UE_ACK_INDICATION
0,0,0,1,3,2,0,6476,0,0,1,0
0,0,0,1,3,2,0,27478,0,0,1,0
0,0,0,1,3,2,0,48480,0,0,1,0
0,0,0,1,3,2,0,69481,0,0,1,0
0,0,0,1,3,2,0,90483,0,0,1,0
0,0,0,1,3,2,0,111485,0,0,1,0
0,0,0,1,3,2,0,132487,0,0,1,0
0,0,0,1,3,2,0,153489,0,0,1,0
0,0,0,1,3,2,0,174491,0,0,1,0
0,0,0,1,3,2,0,195493,0,0,1,0
0,0,0,1,3,2,0,216495,0,0,1,0
0,0,0,1,3,2,0,237496,0,0,1,0
0,0,0,1,3,2,0,258498,0,0,1,0
0,0,0,1,3,2,0,279500,0,0,1,0
0,0,0,1,3,2,0,300501,0,0,1,0
0,0,0,1,3,2,0,321503,0,0,1,0
0,0,0,1,3,2,0,342505,0,0,1,0
0,0,0,1,3,2,0,363507,0,0,1,0
0,0,0,1,3,2,0,384508,0,0,1,0
0,0,0,1,3,2,0,405511,0,0,1,0
0,0,0,1,3,2,0,426513,0,0,1,0
104,13,153,1,3,72,13,449614,0,102,1,22
142,16,283,1,3,98,16,474890,0,142,1,32
142,16,4137,1,3,98,16,507621,0,142,1,32
142,16,8142,1,3,98,16,540659,2,142,1,32
142,16,12146,1,3,98,16,573693,4,142,1,32
142,16,16150,1,3,98,16,606727,6,142,1,32
142,16,20154,1,3,98,16,639760,6,142,1,32
142,16,24158,1,3,98,16,672791,6,142,1,32
142,16,28162,1,3,98,16,705823,6,142,1,32
142,16,32166,1,3,98,16,738858,6,142,1,32
